Author full names,Title,DOI,Link,Source,Abstract,Author Keywords,Index Keywords,To include
"Rehm, Johannes (57217101175); Reshodko, Irina (58894314100); Børresen, Stian Zimmermann (58974044500); Gundersen, Odd Erik (6602254512)",The virtual driving instructor: Multi-agent system collaborating via knowledge graph for scalable driver education,10.1002/aaai.12201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206838284&doi=10.1002%2faaai.12201&partnerID=40&md5=df8d651c3f134cea6c63ec82835d31dc,Scopus,"This work introduces the design, development, and deployment of a virtual driving instructor (VDI) for enhanced driver education. The VDI provides personalized, real-time feedback to students in a driving simulator, addressing some of the limitations of traditional driver instruction. Employing a hybrid AI system, the VDI combines rule-based agents, learning-based agents, knowledge graphs, and Bayesian networks to assess and monitor student performance in a comprehensive manner. Implemented in multiple simulators at a driving school in Norway, the system aims to leverage AI and driving simulation to improve both the learning experience and the efficiency of instruction. Initial feedback from students has been largely positive, highlighting the effectiveness of this integration while also pointing to areas for further improvement. This marks a significant stride in infusing technology into driver education, offering a scalable and efficient approach to instruction. © 2024 The Author(s). AI Magazine published by John Wiley & Sons Ltd on behalf of Association for the Advancement of Artificial Intelligence.",,Adversarial machine learning; Automobile driver simulators; Automobile drivers; Automobile simulators; Contrastive Learning; Driver training; Intelligent agents; Multi agent systems; Students; Teaching; AI systems; Design development; Driver education; Driving instructors; Driving simulator; Feedback to students; Knowledge graphs; Multiagent systems (MASs); Real-time feedback; Rule based; Knowledge graph,FALSE
"Li, Kaiyang (58835004200); Wang, Yaoying (58479316200); Zhu, Tianyou (58478984500); Li, Jiwei (59451715800); Ren, Junda (57226819806); Chen, Zhenyu (55705769100)",Knowledge graph-based multimodal neural networks for smart-grid defect detection,10.1002/eng2.12824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178391705&doi=10.1002%2feng2.12824&partnerID=40&md5=41050698491ebdd37c34994caf53fb82,Scopus,"The application of artificial intelligence in smart grid operations, particularly for defect detection, has seen remarkable progress. However, effectively leveraging multi-modal data sources to enhance defect detection performance remains challenging. This paper presents a novel Knowledge Graph-based Multimodal Neural Network (KGMNN) approach for robust and efficient defect detection in smart grids. Our proposed method first leverages multiple heterogeneous data sources, such as structural data, temporal sensor readings, and maintenance records, creating a comprehensive representation of the grid system. The system is then modeled as a knowledge graph, with nodes representing various entities and edges signifying their interconnections and interactions. This paper introduces a novel neural network architecture that effectively leverages the knowledge graph structure. This architecture incorporates multi-modal fusion techniques, enabling the model to process and integrate diverse data sources. It can recognize intricate patterns indicative of potential defects that are often undetectable in individual data modes. Experimental results on several real-world smart grid datasets demonstrate that the KGMNN significantly outperforms state-of-the-art techniques in terms of precision, recall, and computational efficiency. Furthermore, the KGMNN's ability to provide explainable predictions, aided by the inherent interpretability of the knowledge graph structure, is of significant practical value in the field. This research paves the way for a new generation of AI-powered defect detection in smart grids, facilitating enhanced grid reliability and operational efficiency. © 2023 The Authors. Engineering Reports published by John Wiley & Sons Ltd.",defect detection; knowledge graph; multimodal neural networks; smart grids,Computational efficiency; Defects; Graphic methods; Knowledge graph; Modal analysis; Network architecture; Neural networks; Data-source; Defect detection; Detection performance; Graph structures; Graph-based; Grid operation; Knowledge graphs; Multi-modal data; Multi-modal neural networks; Smart grid; Smart power grids,FALSE
"Lotz, Jeffrey C. (7102476007); Ropella, Glen (6507482182); Anderson, Paul (7404424706); Yang, Qian (57190247839); Hedderich, Michael A. (57216689193); Bailey, Jeannie (56175197800); Hunt, C. Anthony (19835468200)",An exploration of knowledge-organizing technologies to advance transdisciplinary back pain research,10.1002/jsp2.1300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177452510&doi=10.1002%2fjsp2.1300&partnerID=40&md5=219c719cd9bca8a03d4d3beadb4f7cf7,Scopus,"Chronic low back pain (LBP) is influenced by a broad spectrum of patient-specific factors as codified in domains of the biopsychosocial model (BSM). Operationalizing the BSM into research and clinical care is challenging because most investigators work in silos that concentrate on only one or two BSM domains. Furthermore, the expanding, multidisciplinary nature of BSM research creates practical limitations as to how individual investigators integrate current data into their processes of generating impactful hypotheses. The rapidly advancing field of artificial intelligence (AI) is providing new tools for organizing knowledge, but the practical aspects for how AI may advance LBP research and clinical are beginning to be explored. The goals of the work presented here are to: (1) explore the current capabilities of knowledge integration technologies (large language models (LLM), similarity graphs (SGs), and knowledge graphs (KGs)) to synthesize biomedical literature and depict multimodal relationships reflected in the BSM, and; (2) highlight limitations, implementation details, and future areas of research to improve performance. We demonstrate preliminary evidence that LLMs, like GPT-3, may be useful in helping scientists analyze and distinguish cLBP publications across multiple BSM domains and determine the degree to which the literature supports or contradicts emergent hypotheses. We show that SG representations and KGs enable exploring LBP's literature in novel ways, possibly providing, trans-disciplinary perspectives or insights that are currently difficult, if not infeasible to achieve. The SG approach is automated, simple, and inexpensive to execute, and thereby may be useful for early-phase literature and narrative explorations beyond one's areas of expertise. Likewise, we show that KGs can be constructed using automated pipelines, queried to provide semantic information, and analyzed to explore trans-domain linkages. The examples presented support the feasibility for LBP-tailored AI protocols to organize knowledge and support developing and refining trans-domain hypotheses. © 2023 The Authors. JOR Spine published by Wiley Periodicals LLC on behalf of Orthopaedic Research Society.",artificial intelligence; biopsychosocial model; chronic low back pain; knowledge graphs,Article; artificial intelligence; biopsychosocial model; chronic pain; data classification; human; hypothesis; information processing; interdisciplinary research; knowledge; knowledge graph; large language model; low back pain; medical literature; musculoskeletal system; ontology; preliminary data; scientist; similarity graph,FALSE
"Vassiliades, Alexandros (57216896352); Bassiliades, Nick (6603620714); Gouidis, Filippos (56159495000); Patkos, Theodore (23390146200)",A Knowledge Retrieval Framework for Household Objects and Actions with External Knowledge,10.1007/978-3-030-59833-4_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096528453&doi=10.1007%2f978-3-030-59833-4_3&partnerID=40&md5=823494003ec6c741927281f2ec94372a,Scopus,"In the field of domestic cognitive robotics, it is important to have a rich representation of knowledge about how household objects are related to each other and with respect to human actions. In this paper, we present a domain dependent knowledge retrieval framework for household environments which was constructed by extracting knowledge from the VirtualHome dataset (http://virtual-home.org). The framework provides knowledge about sequences of actions on how to perform human scaled tasks in a household environment, answers queries about household objects, and performs semantic matching between entities from the web knowledge graphs DBpedia, ConceptNet, and WordNet, with the ones existing in our knowledge graph. We offer a set of predefined SPARQL templates that directly address the ontology on which our knowledge retrieval framework is built, and querying capabilities through SPARQL. We evaluated our framework via two different user evaluations. © 2020, The Author(s).",Cognitive robotics; Knowledge retrieval framework; Ontology; Semantic similarity,Knowledge representation; Ontology; Cognitive robotics; ConceptNet; External knowledge; Human actions; Knowledge graphs; Knowledge retrieval; Semantic matching; User evaluations; Semantics,FALSE
"Scrocca, Mario (57203516950); Comerio, Marco (22949998900); Carenini, Alessio (25960755400); Celino, Irene (8879414800)",Turning Transport Data to Comply with EU Standards While Enabling a Multimodal Transport Knowledge Graph,10.1007/978-3-030-62466-8_26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096534321&doi=10.1007%2f978-3-030-62466-8_26&partnerID=40&md5=81374f37a901aeed56e002a17087bea4,Scopus,"Complying with the EU Regulation on multimodal transportation services requires sharing data on the National Access Points in one of the standards (e.g., NeTEx and SIRI) indicated by the European Commission. These standards are complex and of limited practical adoption. This means that datasets are natively expressed in other formats and require a data translation process for full compliance. This paper describes the solution to turn the authoritative data of three different transport stakeholders from Italy and Spain into a format compliant with EU standards by means of Semantic Web technologies. Our solution addresses the challenge and also contributes to build a multi-modal transport Knowledge Graph of interlinked and interoperable information that enables intelligent querying and exploration, as well as facilitates the design of added-value services. © 2020, Springer Nature Switzerland AG.",Multimodal transport knowledge graph; Semantic data conversion; Transport data; Transport EU regulation,Data Sharing; Interoperability; Knowledge representation; Semantic Web; Added-value services; Data translations; European Commission; Format-compliant; Knowledge graphs; Multimodal transport; Semantic Web technology; Transport data; Multimodal transportation,TRUE
"Brack, Arthur (57189691982); Hoppe, Anett (57198201823); Ewerth, Ralph (6506127251)",Citation Recommendation for Research Papers via Knowledge Graphs,10.1007/978-3-030-86324-1_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115306611&doi=10.1007%2f978-3-030-86324-1_20&partnerID=40&md5=bfc5c23446886b76fd61e2b3515a4575,Scopus,"Citation recommendation for research papers is a valuable task that can help researchers improve the quality of their work by suggesting relevant related work. Current approaches for this task rely primarily on the text of the papers and the citation network. In this paper, we propose to exploit an additional source of information, namely research knowledge graphs (KGs) that interlink research papers based on mentioned scientific concepts. Our experimental results demonstrate that the combination of information from research KGs with existing state-of-the-art approaches is beneficial. Experimental results are presented for the STM-KG (STM: Science, Technology, Medicine), which is an automatically populated knowledge graph based on the scientific concepts extracted from papers of ten domains. The proposed approach outperforms the state of the art with a mean average precision of 20.6% (+0.8) for the top-50 retrieved results. © 2021, Springer Nature Switzerland AG.",Information retrieval; Research knowledge graph; Research paper citation recommendation,Graphic methods; Information retrieval; 'current; Citation networks; Knowledge graphs; Paper citations; Related works; Research knowledge graph; Research paper citation recommendation; Research papers; Sources of informations; State-of-the-art approach; Knowledge graph,FALSE
"Monka, Sebastian (57204564688); Halilaj, Lavdim (57184319800); Schmid, Stefan (57193072422); Rettinger, Achim (23092350400)",Learning Visual Models Using a Knowledge Graph as a Trainer,10.1007/978-3-030-88361-4_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116917681&doi=10.1007%2f978-3-030-88361-4_21&partnerID=40&md5=2d45e65fda01e8646736530cde2a84b0,Scopus,"Traditional computer vision approaches, based on neural networks (NN), are typically trained on a large amount of image data. By minimizing the cross-entropy loss between a prediction and a given class label, the NN and its visual embedding space are learned to fulfill a given task. However, due to the sole dependence on the image data distribution of the training domain, these models tend to fail when applied to a target domain that differs from their source domain. To learn a more robust NN to domain shifts, we propose the knowledge graph neural network (KG-NN), a neuro-symbolic approach that supervises the training using image-data-invariant auxiliary knowledge. The auxiliary knowledge is first encoded in a knowledge graph with respective concepts and their relationships, which is then transformed into a dense vector representation via an embedding method. Using a contrastive loss function, KG-NN learns to adapt its visual embedding space and thus its weights according to the image-data invariant knowledge graph embedding space. We evaluate KG-NN on visual transfer learning tasks for classification using the mini-ImageNet dataset and its derivatives, as well as road sign recognition datasets from Germany and China. The results show that a visual model trained with a knowledge graph as a trainer outperforms a model trained with cross-entropy in all experiments, in particular when the domain gap increases. Besides better performance and stronger robustness to domain shifts, these KG-NN adapts to multiple datasets and classes without suffering heavily from catastrophic forgetting. © 2021, Springer Nature Switzerland AG.",Knowledge graph; Neuro-symbolic; Transfer learning,Classification (of information); Embeddings; Entropy; Graph neural networks; Pattern recognition; Cross entropy; Embeddings; Graph neural networks; Image data; Knowledge graphs; Learn+; Neural-networks; Neuro-symbolic; Transfer learning; Visual model; Knowledge graph,FALSE
"Koner, Rajat (57219734248); Li, Hang (59290693600); Hildebrandt, Marcel (57202465286); Das, Deepan (57656533000); Tresp, Volker (6603805670); Günnemann, Stephan (35242528700)",Graphhopper: Multi-hop Scene Graph Reasoning for Visual Question Answering,10.1007/978-3-030-88361-4_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116858375&doi=10.1007%2f978-3-030-88361-4_7&partnerID=40&md5=f0f5cc665dc9f46cc1c8a83af67176b1,Scopus,"Visual Question Answering (VQA) is concerned with answering free-form questions about an image. Since it requires a deep semantic and linguistic understanding of the question and the ability to associate it with various objects that are present in the image, it is an ambitious task and requires multi-modal reasoning from both computer vision and natural language processing. We propose Graphhopper, a novel method that approaches the task by integrating knowledge graph reasoning, computer vision, and natural language processing techniques. Concretely, our method is based on performing context-driven, sequential reasoning based on the scene entities and their semantic and spatial relationships. As a first step, we derive a scene graph that describes the objects in the image, as well as their attributes and their mutual relationships. Subsequently, a reinforcement learning agent is trained to autonomously navigate in a multi-hop manner over the extracted scene graph to generate reasoning paths, which are the basis for deriving answers. We conduct an experimental study on the challenging dataset GQA, based on both manually curated and automatically generated scene graphs. Our results show that we keep up with human performance on manually curated scene graphs. Moreover, we find that Graphhopper outperforms another state-of-the-art scene graph reasoning model on both manually curated and automatically generated scene graphs by a significant margin. © 2021, The Author(s).",Knowledge graph reasoning; Multi-modal reasoning; Reinforcement learning; Scene graph reasoning; Visual Question Answering (VQA),Autonomous agents; Computer vision; Natural language processing systems; Reinforcement learning; Semantics; Knowledge graph reasoning; Knowledge graphs; Modal reasoning; Multi-hops; Multi-modal; Multi-modal reasoning; Question Answering; Scene graph reasoning; Scene-graphs; Visual question answering; Knowledge graph,FALSE
"McTear, Michael (6603439632); Jokinen, Kristiina (23397498500); Dubey, Mohnish (57190301094); Chollet, Gérard (6603735124); Boudy, Jérôme (14053566400); Lohr, Christophe (44361306900); Roelen, Sonja Dana (57202993536); Mössing, Wanja (57218352710); Wieching, Rainer (6505461480)",Empowering Well-Being Through Conversational Coaching for Active and Healthy Ageing,10.1007/978-3-031-09593-1_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134161947&doi=10.1007%2f978-3-031-09593-1_21&partnerID=40&md5=1c966ee2874732d2839aa69ab4ff1dba,Scopus,"With life expectancy growing rapidly over the past century, societies are being increasingly faced with a need to find smart living solutions for elderly care and active ageing. The e-VITA project, which is a joint European (H2020) and Japanese (MIC) funded project, is based on an innovative approach to virtual coaching that addresses the crucial domains of active and healthy ageing. In this paper we describe the role of spoken dialogue technology in the project. Requirements for the virtual coach were elicited through a process of participatory design in workshops, focus groups, and living labs, and a number of use cases were identified for development using the open-source RASA framework. Knowledge Graphs are used as a shared representation within the system, enabling an integration of multimodal data, context, and domain knowledge. © 2022, The Author(s).",Active and healthy ageing; Dialogue system; Knowledge graphs; Participatory design,Design; Domain Knowledge; Knowledge graph; Speech processing; Active ageing; Active and healthy aging; Dialogue systems; Elderly care; Innovative approaches; Knowledge graphs; Life expectancies; Participatory design; Smart livings; Well being; Virtual addresses,FALSE
"Dolphin, Rian (57226247527); Smyth, Barry (35579653900); Dong, Ruihai (55193478400)",A Machine Learning Approach to Industry Classification in Financial Markets,10.1007/978-3-031-26438-2_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149934512&doi=10.1007%2f978-3-031-26438-2_7&partnerID=40&md5=6efe4adc9939b9ff2c5be553b5c9549e,Scopus,"Industry classification schemes provide a taxonomy for segmenting companies based on their business activities. They are relied upon in industry and academia as an integral component of many types of financial and economic analysis. However, even modern classification schemes have failed to embrace the era of big data and remain a largely subjective undertaking prone to inconsistency and misclassification. To address this, we propose a multimodal neural model for training company embeddings, which harnesses the dynamics of both historical pricing data and financial news to learn objective company representations that capture nuanced relationships. We explain our approach in detail and highlight the utility of the embeddings through several case studies and application to the downstream task of industry classification. © 2023, The Author(s).",Financial markets; Knowledge graphs; Latent space embeddings; Machine learning,Commerce; Economic analysis; Embeddings; Financial markets; Knowledge graph; Business activities; Classification scheme; Embeddings; Industry classification; Integral components; Knowledge graphs; Latent space embedding; Machine learning approaches; Machine-learning; Space embedding; Machine learning,FALSE
